Sample,Treatment,Stage treated,Gene,SDM.gene,rp49.1,rp49.2
PyrT44,A.Methanol,PuD0,N.Pkbr3.Z2,3.41E-05,3.94E-04,7.17E-04
PyrT54,B.5mM,PreD1,N.Pkbr3.Z2,1.94E-04,7.86E-04,1.43E-03
PyrT55,B.5mM,PreD1,N.Pkbr3.Z2,3.02E-04,2.35E-03,3.51E-03
PyrT56,B.5mM,PreD1,N.Pkbr3.Z2,2.33E-04,1.28E-03,2.58E-03
PyrT57,B.5mM,PreD1,N.Pkbr3.Z2,3.59E-04,1.69E-03,3.14E-03
PyrT61,B.5mM,PreD1,N.Pkbr3.Z2,3.34E-04,2.08E-03,2.64E-03
PyrT62,B.5mM,PreD1,N.Pkbr3.Z2,4.55E-04,5.07E-03,3.12E-03
PyrT52,B.5mM,PuD0,N.Pkbr3.Z2,1.93E-04,7.55E-03,1.94E-03
PyrT58,B.5mM,PuD0,N.Pkbr3.Z2,1.89E-04,3.61E-04,2.64E-03
PyrT59,B.5mM,PuD0,N.Pkbr3.Z2,1.67E-04,1.37E-03,2.13E-03
PyrT60,B.5mM,PuD0,N.Pkbr3.Z2,1.42E-04,1.48E-03,2.03E-03
PyrT63,B.5mM,PuD0,N.Pkbr3.Z2,2.16E-04,1.02E-03,1.82E-03
PyrT64,B.5mM,PuD0,N.Pkbr3.Z2,1.00E-04,4.64E-04,9.70E-04
PyrT21,A.Methanol,PreD1,P.Tai.IN,3.02E-04,1.77E-03,2.42E-03
PyrT11,A.Methanol,PreD1,P.Tai.IN,3.35E-04,4.21E-03,4.68E-03
PyrT19,A.Methanol,PreD1,P.Tai.IN,3.28E-04,2.01E-03,2.68E-03
PyrT20,A.Methanol,PreD1,P.Tai.IN,4.50E-04,5.27E-03,4.50E-03
PyrT30,A.Methanol,PreD1,P.Tai.IN,4.71E-04,3.63E-03,3.43E-03
PyrT37,A.Methanol,PreD1,P.Tai.IN,5.91E-04,5.32E-03,5.15E-03
